Day,Start Hour,Impressions
Sunday,12 AM,435
Sunday,1 AM,308
Sunday,2 AM,203
Sunday,3 AM,201
Sunday,4 AM,141
Sunday,5 AM,174
Sunday,6 AM,91
Sunday,7 AM,96
Sunday,8 AM,95
Sunday,9 AM,128
Sunday,10 AM,84
Sunday,11 AM,101
Sunday,12 PM,184
Sunday,1 PM,79
Sunday,2 PM,260
Sunday,3 PM,294
Sunday,4 PM,172
Sunday,5 PM,201
Sunday,6 PM,9
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,0
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,290
Monday,1 AM,283
Monday,2 AM,253
Monday,3 AM,254
Monday,4 AM,251
Monday,5 AM,158
Monday,6 AM,92
Monday,7 AM,72
Monday,8 AM,85
Monday,9 AM,65
Monday,10 AM,108
Monday,11 AM,118
Monday,12 PM,144
Monday,1 PM,111
Monday,2 PM,133
Monday,3 PM,198
Monday,4 PM,79
Monday,5 PM,191
Monday,6 PM,162
Monday,7 PM,56
Monday,8 PM,0
Monday,9 PM,0
Monday,10 PM,0
Monday,11 PM,0
Tuesday,12 AM,124
Tuesday,1 AM,118
Tuesday,2 AM,102
Tuesday,3 AM,70
Tuesday,4 AM,79
Tuesday,5 AM,59
Tuesday,6 AM,55
Tuesday,7 AM,52
Tuesday,8 AM,45
Tuesday,9 AM,24
Tuesday,10 AM,27
Tuesday,11 AM,43
Tuesday,12 PM,43
Tuesday,1 PM,45
Tuesday,2 PM,120
Tuesday,3 PM,60
Tuesday,4 PM,0
Tuesday,5 PM,0
Tuesday,6 PM,0
Tuesday,7 PM,0
Tuesday,8 PM,0
Tuesday,9 PM,0
Tuesday,10 PM,0
Tuesday,11 PM,0
Wednesday,12 AM,100
Wednesday,1 AM,109
Wednesday,2 AM,89
Wednesday,3 AM,78
Wednesday,4 AM,32
Wednesday,5 AM,0
Wednesday,6 AM,0
Wednesday,7 AM,0
Wednesday,8 AM,0
Wednesday,9 AM,0
Wednesday,10 AM,0
Wednesday,11 AM,0
Wednesday,12 PM,0
Wednesday,1 PM,0
Wednesday,2 PM,0
Wednesday,3 PM,11
Wednesday,4 PM,19
Wednesday,5 PM,46
Wednesday,6 PM,59
Wednesday,7 PM,97
Wednesday,8 PM,97
Wednesday,9 PM,111
Wednesday,10 PM,113
Wednesday,11 PM,41
Thursday,12 AM,73
Thursday,1 AM,114
Thursday,2 AM,143
Thursday,3 AM,115
Thursday,4 AM,80
Thursday,5 AM,54
Thursday,6 AM,38
Thursday,7 AM,38
Thursday,8 AM,50
Thursday,9 AM,36
Thursday,10 AM,52
Thursday,11 AM,56
Thursday,12 PM,36
Thursday,1 PM,17
Thursday,2 PM,18
Thursday,3 PM,37
Thursday,4 PM,32
Thursday,5 PM,25
Thursday,6 PM,23
Thursday,7 PM,21
Thursday,8 PM,39
Thursday,9 PM,12
Thursday,10 PM,29
Thursday,11 PM,51
Friday,12 AM,153
Friday,1 AM,105
Friday,2 AM,120
Friday,3 AM,90
Friday,4 AM,73
Friday,5 AM,95
Friday,6 AM,48
Friday,7 AM,4
Friday,8 AM,10
Friday,9 AM,15
Friday,10 AM,23
Friday,11 AM,7
Friday,12 PM,36
Friday,1 PM,31
Friday,2 PM,21
Friday,3 PM,0
Friday,4 PM,0
Friday,5 PM,0
Friday,6 PM,0
Friday,7 PM,0
Friday,8 PM,0
Friday,9 PM,0
Friday,10 PM,0
Friday,11 PM,5
Saturday,12 AM,312
Saturday,1 AM,257
Saturday,2 AM,147
Saturday,3 AM,95
Saturday,4 AM,78
Saturday,5 AM,73
Saturday,6 AM,60
Saturday,7 AM,86
Saturday,8 AM,70
Saturday,9 AM,63
Saturday,10 AM,80
Saturday,11 AM,133
Saturday,12 PM,130
Saturday,1 PM,22
Saturday,2 PM,37
Saturday,3 PM,35
Saturday,4 PM,62
Saturday,5 PM,92
Saturday,6 PM,15
Saturday,7 PM,31
Saturday,8 PM,20
Saturday,9 PM,0
Saturday,10 PM,0
Saturday,11 PM,3
